=== SEED 1 ===
               fno1d epoch 026 train_loss=21.4772 val_loss=27.6846
               fno1d epoch 027 train_loss=21.2688 val_loss=27.4173
               fno1d epoch 028 train_loss=21.0542 val_loss=27.2842
               fno1d epoch 029 train_loss=20.968 val_loss=27.2271
               fno1d epoch 030 train_loss=20.8746 val_loss=27.2182
              conv1d epoch 001 train_loss=174.839 val_loss=124.443
              conv1d epoch 002 train_loss=81.9052 val_loss=48.8876
              conv1d epoch 003 train_loss=34.5884 val_loss=29.853
              conv1d epoch 004 train_loss=21.7899 val_loss=25.5398
              conv1d epoch 005 train_loss=16.5547 val_loss=22.56
              conv1d epoch 006 train_loss=13.9517 val_loss=17.5771
              conv1d epoch 007 train_loss=13.0799 val_loss=15.5139
              conv1d epoch 008 train_loss=11.6166 val_loss=15.8739
              conv1d epoch 009 train_loss=11.2696 val_loss=15.9379
              conv1d epoch 010 train_loss=10.1538 val_loss=13.4089
              conv1d epoch 011 train_loss=9.18768 val_loss=11.4399
              conv1d epoch 012 train_loss=8.13902 val_loss=10.0294
              conv1d epoch 013 train_loss=7.03352 val_loss=8.54336
              conv1d epoch 014 train_loss=5.81683 val_loss=6.75677
              conv1d epoch 015 train_loss=4.76684 val_loss=5.57364
              conv1d epoch 016 train_loss=4.18837 val_loss=4.09974
              conv1d epoch 017 train_loss=3.74287 val_loss=3.95416
              conv1d epoch 018 train_loss=3.26602 val_loss=3.86657
              conv1d epoch 019 train_loss=3.20721 val_loss=3.42547
              conv1d epoch 020 train_loss=3.23803 val_loss=4.25014
              conv1d epoch 021 train_loss=2.99988 val_loss=2.86785
              conv1d epoch 022 train_loss=2.93026 val_loss=3.23121
              conv1d epoch 023 train_loss=2.79276 val_loss=2.71967
              conv1d epoch 024 train_loss=2.57692 val_loss=2.87909
              conv1d epoch 025 train_loss=2.51807 val_loss=2.74475
              conv1d epoch 026 train_loss=2.51457 val_loss=2.79619
              conv1d epoch 027 train_loss=2.46001 val_loss=2.63404
              conv1d epoch 028 train_loss=2.47054 val_loss=2.69044
              conv1d epoch 029 train_loss=2.42759 val_loss=2.68178
              conv1d epoch 030 train_loss=2.44736 val_loss=2.67397
Sharp held-out distal-edge ranking
rank                model     params      gap%    edge_mm      g1/1%      g2/2%
   1               conv1d     958163      1.53      0.253      78.81      93.98
   2                fno1d     929691     -1.49      0.465       4.29      10.61
   3  braggtransporter_v0     943765      0.00      0.750      42.98      75.69
Conclusion: FNO beats transformer on the sharp edge by 0.284 mm mean paired error reduction (95% CI -0.459..-0.119, sign-flip p=0.00215).
